Zip/Postal Code,Population,Density,Error
02532,13180,956.22,
02536,21100,771.24,
02723,17111,10732.64,
02762,9872,898.7,
02840,23615,3245.6,
03246,17006,856.22,
06418,12150,2407.25,
06710,9669,9981.35,
08009,14967,905.44,
08723,32033,2679.02,
08724,41573,3012.18,
11040,42344,8807.25,
11743,42423,1653.37,
11768,21908,1451.3,
11772,45006,2790.41,
13669,15615,153.89,
14760,17272,265.54,
15108,42782,1082.64,
15146,28422,1448.96,
15234,14330,4604.4,
15235,33811,2283.16,
15401,30230,545.85,
15650,27367,369.17,
15714,5215,156.48,
15902,11593,1232.64,
15954,2186,108.03,
16001,39733,524.09,
16201,16734,149.22,
16801,42153,1356.99,
23235,33207,1866.06,
26003,40445,444.04,
26070,7951,198.96,
27909,40878,180.31,
30046,39524,2497.67,
30060,39313,2536.27,
30083,62941,3525.65,
30132,50803,496.11,
30144,58389,2639.38,
30341,34812,3483.16,
30518,56309,1406.99,
30529,12138,240.41,
31520,22743,1129.27,
32084,36998,820.21,
32136,8303,468.39,
32250,28738,3209.84,
32257,41791,3411.92,
32501,10721,2908.29,
32703,57603,1794.3,
32935,41533,3161.14,
32967,26219,656.48,
33060,35888,5162.69,
33311,73280,7067.88,
33455,20980,370.98,
33458,55969,2750.26,
33570,33676,805.44,
33612,49899,5019.17,
33713,31835,4872.02,
33765,14364,3439.9,
33948,18732,1444.82,
33990,35428,3791.19,
34112,25946,1748.45,
34134,16403,1220.73,
34205,30607,4741.19,
34231,32203,3409.33,
34606,28155,2434.2,
34668,48025,3096.11,
34711,69727,1780.83,
35630,33697,1333.42,
35810,32705,1162.18,
40218,33292,3700.26,
40219,39107,2632.64,
40223,23264,1930.31,
40601,51627,237.31,
41076,17145,894.56,
42002,,,
42351,4580,64.77,
42701,53240,329.02,
42718,26461,99.74,
43055,62697,556.48,
43130,62450,379.79,
43213,35912,3479.53,
43613,30597,4996.37,
43713,6511,71.76,
44256,64606,494.04,
44483,25602,1396.63,
44512,33018,1940.93,
45040,58132,2043.78,
45150,33342,1033.68,
45230,26923,1959.84,
45232,7257,1797.67,
